observation_date,DGS10
1993-02-16,6.34
1993-02-17,6.28
1993-02-18,6.17
1993-02-19,6.15
1993-02-22,6.09
1993-02-23,5.92
1993-02-24,6.01
1993-02-25,6.03
1993-02-26,6.03
1993-03-01,5.94
1993-03-02,5.95
1993-03-03,5.88
1993-03-04,5.83
1993-03-05,5.90
1993-03-08,5.85
1993-03-09,5.91
1993-03-10,5.97
1993-03-11,5.96
1993-03-12,6.11
1993-03-15,6.17
1993-03-16,6.06
1993-03-17,6.02
1993-03-18,5.93
1993-03-19,5.95
1993-03-22,5.96
1993-03-23,5.91
1993-03-24,5.95
1993-03-25,5.98
1993-03-26,6.09
1993-03-29,6.06
1993-03-30,6.02
1993-03-31,6.03
1993-04-01,6.06
1993-04-02,6.16
1993-04-05,6.13
1993-04-06,6.08
1993-04-07,6.07
1993-04-08,5.97
1993-04-09,
1993-04-12,5.92
1993-04-13,5.93
1993-04-14,5.90
1993-04-15,5.88
1993-04-16,5.89
1993-04-19,5.87
1993-04-20,5.87
1993-04-21,5.86
1993-04-22,5.85
1993-04-23,5.89
1993-04-26,5.94
1993-04-27,6.02
1993-04-28,6.03
1993-04-29,5.99
1993-04-30,6.05
1993-05-03,5.96
1993-05-04,5.92
1993-05-05,5.93
1993-05-06,5.89
1993-05-07,5.92
1993-05-10,5.89
1993-05-11,5.89
1993-05-12,5.96
1993-05-13,6.02
1993-05-14,6.03
1993-05-17,6.07
1993-05-18,6.15
1993-05-19,6.11
1993-05-20,6.09
1993-05-21,6.16
1993-05-24,6.16
1993-05-25,6.17
1993-05-26,6.12
1993-05-27,6.11
1993-05-28,6.16
1993-05-31,
1993-06-01,6.07
1993-06-02,6.06
1993-06-03,6.02
1993-06-04,6.11
1993-06-07,6.08
1993-06-08,6.09
1993-06-09,6.07
1993-06-10,6.07
1993-06-11,5.97
1993-06-14,5.97
1993-06-15,5.96
1993-06-16,5.96
1993-06-17,5.93
1993-06-18,5.97
1993-06-21,5.92
1993-06-22,5.91
1993-06-23,5.91
1993-06-24,5.88
1993-06-25,5.84
1993-06-28,5.80
1993-06-29,5.79
1993-06-30,5.80
1993-07-01,5.80
1993-07-02,5.76
1993-07-05,
1993-07-06,5.80
1993-07-07,5.80
1993-07-08,5.78
1993-07-09,5.76
1993-07-12,5.75
1993-07-13,5.78
1993-07-14,5.72
1993-07-15,5.72
1993-07-16,5.71
1993-07-19,5.71
1993-07-20,5.75
1993-07-21,5.83
1993-07-22,5.90
1993-07-23,5.95
1993-07-26,5.93
1993-07-27,5.92
1993-07-28,5.90
1993-07-29,5.81
1993-07-30,5.83
1993-08-02,5.85
1993-08-03,5.83
1993-08-04,5.87
1993-08-05,5.86
1993-08-06,5.86
1993-08-09,5.82
1993-08-10,5.82
1993-08-11,5.75
1993-08-12,5.77
1993-08-13,5.72
1993-08-16,5.68
1993-08-17,5.70
1993-08-18,5.69
1993-08-19,5.64
1993-08-20,5.61
1993-08-23,5.60
1993-08-24,5.54
1993-08-25,5.51
1993-08-26,5.42
1993-08-27,5.48
1993-08-30,5.44
1993-08-31,5.45
1993-09-01,5.46
1993-09-02,5.41
1993-09-03,5.31
1993-09-06,
1993-09-07,5.23
1993-09-08,5.23
1993-09-09,5.35
1993-09-10,5.29
1993-09-13,5.26
1993-09-14,5.37
1993-09-15,5.39
1993-09-16,5.37
1993-09-17,5.38
1993-09-20,5.42
1993-09-21,5.47
1993-09-22,5.45
1993-09-23,5.42
1993-09-24,5.42
1993-09-27,5.30
1993-09-28,5.28
1993-09-29,5.35
1993-09-30,5.40
1993-10-01,5.34
1993-10-04,5.34
1993-10-05,5.35
1993-10-06,5.35
1993-10-07,5.33
1993-10-08,5.26
1993-10-11,
1993-10-12,5.27
1993-10-13,5.27
1993-10-14,5.23
1993-10-15,5.19
1993-10-18,5.27
1993-10-19,5.27
1993-10-20,5.26
1993-10-21,5.35
1993-10-22,5.42
1993-10-25,5.47
1993-10-26,5.43
1993-10-27,5.44
1993-10-28,5.41
1993-10-29,5.43
1993-11-01,5.56
1993-11-02,5.63
1993-11-03,5.67
1993-11-04,5.67
1993-11-05,5.75
1993-11-08,5.70
1993-11-09,5.64
1993-11-10,5.72
1993-11-11,
1993-11-12,5.66
1993-11-15,5.69
1993-11-16,5.66
1993-11-17,5.65
1993-11-18,5.72
1993-11-19,5.84
1993-11-22,5.89
1993-11-23,5.82
1993-11-24,5.84
1993-11-25,
1993-11-26,5.78
1993-11-29,5.76
1993-11-30,5.83
1993-12-01,5.82
1993-12-02,5.81
1993-12-03,5.80
1993-12-06,5.72
1993-12-07,5.71
1993-12-08,5.71
1993-12-09,5.68
1993-12-10,5.73
